k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
41,0,nan,nan,4.465323e-03,nan,2.647530e+01,5.000000e+00,2.100000e+02,1.001851e+00,nan,5.988831e-03,1.190476e-03,5.000000e+00
41,1,nan,nan,4.066899e-02,nan,2.418409e+01,5.000000e+00,2.100000e+02,1.000065e+00,nan,6.799155e-04,1.190476e-03,5.000000e+00
41,2,nan,nan,3.699587e-02,nan,2.421117e+01,5.000000e+00,2.100000e+02,1.000190e+00,nan,7.410792e-04,1.190476e-03,5.000000e+00
42,0,nan,nan,4.255039e-03,nan,2.647554e+01,5.000000e+00,2.150000e+02,1.001801e+00,nan,6.055921e-03,1.162791e-03,5.000000e+00
42,1,nan,nan,3.966599e-02,nan,2.420330e+01,5.000000e+00,2.150000e+02,1.000084e+00,nan,6.649204e-04,1.162791e-03,5.000000e+00
42,2,nan,nan,3.598917e-02,nan,2.423042e+01,5.000000e+00,2.150000e+02,1.000156e+00,nan,7.309368e-04,1.162791e-03,5.000000e+00
43,0,nan,nan,4.103602e-03,nan,2.647581e+01,5.000000e+00,2.200000e+02,1.001756e+00,nan,6.069615e-03,1.136364e-03,5.000000e+00
43,1,nan,nan,3.870480e-02,nan,2.422156e+01,5.000000e+00,2.200000e+02,1.000088e+00,nan,6.510980e-04,1.136364e-03,5.000000e+00
43,2,nan,nan,3.510388e-02,nan,2.424884e+01,5.000000e+00,2.200000e+02,1.000109e+00,nan,7.176173e-04,1.136364e-03,5.000000e+00
44,0,nan,nan,3.961918e-03,nan,2.647614e+01,5.000000e+00,2.250000e+02,1.001704e+00,nan,6.016997e-03,1.111111e-03,5.000000e+00
44,1,nan,nan,3.776940e-02,nan,2.423887e+01,5.000000e+00,2.250000e+02,1.000082e+00,nan,6.379405e-04,1.111111e-03,5.000000e+00
44,2,nan,nan,3.421926e-02,nan,2.426640e+01,5.000000e+00,2.250000e+02,1.000097e+00,nan,7.033797e-04,1.111111e-03,5.000000e+00
