k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
26,2,nan,nan,4.410131e-02,nan,2.379794e+01,3.000000e+00,1.605000e+03,1.000111e+00,nan,1.509912e-03,1.851852e-03,3.000000e+00
27,0,nan,nan,6.688730e-03,nan,2.644868e+01,3.000000e+00,1.608000e+03,1.000277e+00,nan,9.121118e-03,1.785714e-03,3.000000e+00
27,1,nan,nan,4.534950e-02,nan,2.381423e+01,3.000000e+00,1.608000e+03,1.000144e+00,nan,1.369932e-03,1.785714e-03,3.000000e+00
27,2,nan,nan,4.288017e-02,nan,2.382788e+01,3.000000e+00,1.608000e+03,1.000143e+00,nan,1.446114e-03,1.785714e-03,3.000000e+00
28,0,nan,nan,4.921856e-03,nan,2.644896e+01,2.000000e+00,1.610000e+03,1.000258e+00,nan,8.888538e-03,1.724138e-03,2.000000e+00
28,1,nan,nan,3.377418e-02,nan,2.383674e+01,2.000000e+00,1.610000e+03,1.000162e+00,nan,1.310996e-03,1.724138e-03,2.000000e+00
28,2,nan,nan,3.189867e-02,nan,2.384997e+01,2.000000e+00,1.610000e+03,1.000203e+00,nan,1.386492e-03,1.724138e-03,2.000000e+00
29,0,nan,nan,4.800373e-03,nan,2.644930e+01,2.000000e+00,1.612000e+03,1.000242e+00,nan,1.128752e-02,1.666667e-03,2.000000e+00
29,1,nan,nan,3.330908e-02,nan,2.385858e+01,2.000000e+00,1.612000e+03,1.000211e+00,nan,1.644912e-03,1.666667e-03,2.000000e+00
29,2,nan,nan,3.146612e-02,nan,2.387154e+01,2.000000e+00,1.612000e+03,1.000237e+00,nan,1.741626e-03,1.666667e-03,2.000000e+00
30,0,1.189546e-02,7.998662e-04,4.650443e-03,1.569295e-02,2.644968e+01,2.000000e+00,1.614000e+03,1.000229e+00,nan,1.083856e-02,1.612903e-03,2.000000e+00
30,1,3.850973e-02,9.495538e-04,3.268891e-02,7.659929e-02,2.387967e+01,2.000000e+00,1.614000e+03,1.000249e+00,nan,1.562011e-03,1.612903e-03,2.000000e+00
30,2,3.646183e-02,8.359002e-04,3.088486e-02,7.280209e-02,2.389252e+01,2.000000e+00,1.614000e+03,1.000242e+00,nan,1.653497e-03,1.612903e-03,2.000000e+00
31,0,nan,nan,4.377218e-03,nan,2.645016e+01,2.000000e+00,1.616000e+03,1.000259e+00,nan,1.049967e-02,1.562500e-03,2.000000e+00
31,1,nan,nan,3.209260e-02,nan,2.390009e+01,2.000000e+00,1.616000e+03,1.000273e+00,nan,1.493721e-03,1.562500e-03,2.000000e+00
31,2,nan,nan,3.030447e-02,nan,2.391289e+01,2.000000e+00,1.616000e+03,1.000286e+00,nan,1.580973e-03,1.562500e-03,2.000000e+00
32,0,nan,nan,3.992416e-03,nan,2.645080e+01,2.000000e+00,1.618000e+03,1.000289e+00,nan,1.048924e-02,1.515151e-03,2.000000e+00
32,1,nan,nan,3.151372e-02,nan,2.391988e+01,2.000000e+00,1.618000e+03,1.000250e+00,nan,1.430663e-03,1.515151e-03,2.000000e+00
32,2,nan,nan,2.972989e-02,nan,2.393267e+01,2.000000e+00,1.618000e+03,1.000275e+00,nan,1.515080e-03,1.515151e-03,2.000000e+00
33,0,nan,nan,3.745796e-03,nan,2.645160e+01,2.000000e+00,1.620000e+03,1.000297e+00,nan,1.083369e-02,1.470588e-03,2.000000e+00
33,1,nan,nan,3.096378e-02,nan,2.393908e+01,2.000000e+00,1.620000e+03,1.000215e+00,nan,1.372501e-03,1.470588e-03,2.000000e+00
33,2,nan,nan,2.921182e-02,nan,2.395185e+01,2.000000e+00,1.620000e+03,1.000239e+00,nan,1.454852e-03,1.470588e-03,2.000000e+00
34,0,nan,nan,3.575109e-03,nan,2.645249e+01,2.000000e+00,1.622000e+03,1.000298e+00,nan,1.089657e-02,1.428571e-03,2.000000e+00
34,1,nan,nan,3.043014e-02,nan,2.395772e+01,2.000000e+00,1.622000e+03,1.000186e+00,nan,1.318196e-03,1.428571e-03,2.000000e+00
34,2,nan,nan,2.871502e-02,nan,2.397049e+01,2.000000e+00,1.622000e+03,1.000216e+00,nan,1.397253e-03,1.428571e-03,2.000000e+00
35,0,1.124738e-02,7.561831e-04,3.446303e-03,1.433752e-02,2.645334e+01,2.000000e+00,1.624000e+03,1.000300e+00,nan,1.079135e-02,1.388889e-03,2.000000e+00
35,1,3.544090e-02,8.734369e-04,2.991458e-02,6.994990e-02,2.397585e+01,2.000000e+00,1.624000e+03,1.000179e+00,nan,1.267830e-03,1.388889e-03,2.000000e+00
35,2,3.351492e-02,7.680017e-04,2.822017e-02,6.634207e-02,2.398862e+01,2.000000e+00,1.624000e+03,1.000214e+00,nan,1.343557e-03,1.388889e-03,2.000000e+00
36,0,nan,nan,3.328374e-03,nan,2.645411e+01,2.000000e+00,1.626000e+03,1.000302e+00,nan,1.059773e-02,1.351351e-03,2.000000e+00
